Delta,Theta,Alpha,Beta,Gamma,Extra
7522.471519,6252.114461,5083.660265,2471.965442,1362.853667,142.283479
7857.088254,8049.820775,4326.752476,2994.714546,1724.478646,184.6601251
7124.206157,7822.03986,4419.389733,2679.319389,1163.3551,131.7323567
7248.197402,8227.274024,5337.567363,3001.29193,1434.518715,154.8329618
2422.355785,5442.17288,3209.477864,1574.115109,1294.353232,133.561639
9144.27653,11770.0655,4794.294539,3775.52254,1320.802266,199.0255326
5457.385995,5884.325068,3586.176105,2341.815995,1385.945121,144.5820474
4638.257954,3003.851304,1032.996832,1868.195248,1103.32961,123.129508
945.559678,2505.89259,1962.715278,1534.549052,1135.569704,130.9967513
2501.474636,3501.790672,2333.057952,1777.873203,1457.523286,88.83041589
1915.279924,7083.78499,3621.706033,1577.09241,1270.113212,178.1775054
12421.37197,10221.04759,4385.765397,1607.449524,1339.74263,272.3753343
7262.315147,4451.159564,3632.031525,2843.733525,2126.815899,210.2609152
3011.931916,2802.220677,2217.511451,2729.481641,1399.226766,168.5180842
2880.229036,7373.72492,5623.023449,1716.157966,1330.442954,134.7976411
4254.018255,2898.396273,2168.813732,1975.691371,1126.176731,71.82074737
1857.05944,2026.310565,1549.450317,1454.731674,1486.145554,156.4756992
5217.102078,5897.886735,3703.044376,2320.874139,1225.658825,124.6013951
1516.324962,3171.920842,2391.779565,1814.504292,1058.577636,169.1114214
3175.099786,2648.142255,2710.85395,2997.567018,1227.430573,172.6526524
1947.672581,2138.516299,2803.595358,2447.723979,1020.97745,135.6922045
3107.796774,7906.289619,4463.046279,1755.061142,1721.319504,131.5610531
1308.325917,3864.611528,3218.459134,2087.730918,1230.252785,163.1685219
2693.76282,2862.194673,1568.388406,2740.696745,1929.764001,111.4314634
5037.779169,7468.143637,2512.514302,2204.841597,1615.01129,104.6118899
1474.797103,1905.536351,1441.458555,1970.054287,1564.164996,111.8024954
5283.767443,9810.063922,4088.267886,2375.968008,1313.514955,213.3171212
1445.176972,2009.472095,2578.236386,2106.936958,867.9183417,134.1463796
1559.677068,2427.764566,2052.869295,1986.695558,1290.200763,169.7861285
2471.005586,3036.251283,1674.084491,2841.466537,1292.541165,162.5183538
5582.20901,5302.261125,4735.57493,2143.868321,1816.67259,74.50105499
2453.894538,2661.941552,1773.637911,2241.242005,1200.736808,132.623662
5445.432293,2580.837309,1813.385394,3255.092564,1694.63812,136.3774286
2301.302673,2670.037699,2307.201441,2019.87586,1410.929129,97.55964052
2487.603915,2054.846476,2292.707741,2977.623487,1185.520388,175.5689703
1706.913419,2223.539571,1620.561159,2735.245375,1208.112027,171.7152423
4535.285988,3547.465579,1500.954566,2181.511123,1244.323407,85.58351226
2815.72778,4894.539392,2269.420436,2415.554339,1225.156825,72.3254395
3460.745707,7662.005905,3809.30868,2359.06695,1037.848208,99.61648135
3442.840608,2116.796657,2493.003781,2921.410185,1614.021913,149.8453324
2591.231527,2585.152859,1428.549478,2112.724649,1263.798007,176.1381553
3362.761222,4891.126499,3438.016607,1965.121925,1467.322228,202.177338
2119.547162,3049.97769,2187.228272,3449.221901,1642.013201,106.66742
3324.083516,3448.089848,1945.652441,2903.857439,1605.834649,211.9663445
1288.382462,2015.632852,1525.094879,2555.274791,1244.966794,149.7319269
7041.58762,8759.605478,5918.911617,2699.723634,1618.651228,291.6057568
2580.499086,4321.781093,2393.118341,3156.704454,1161.289246,129.2775506
3870.329935,3117.218324,3768.598682,3128.352189,1626.639962,136.2708992
4860.574139,8676.16576,4465.471174,2874.578742,1222.478885,81.71058596
2578.487945,1456.808026,2361.795636,2043.341438,1386.491882,183.5367035
2569.065662,3509.351844,2075.547004,2786.836703,1616.692396,105.7840464
3204.693824,4319.17248,4095.037623,3204.607863,1545.886817,115.9522029
2810.317244,3088.558664,1249.456363,1987.174917,1060.895313,105.3181687
2556.924444,4972.515011,3311.454755,2519.156622,1578.903972,124.9564117
2333.075362,3539.887038,2853.600334,1913.041415,1280.804848,160.4727718
4059.172413,5421.587482,5560.183566,2438.349668,1171.349803,144.4977205
2539.219234,4659.266572,1862.796937,1809.764005,1761.070226,111.6687743
2377.847266,5113.256487,2793.781333,2424.61751,1571.486681,112.4404702
5108.491515,7738.357687,4493.102204,1928.550565,1341.74138,136.4215969
3582.544023,6841.303358,3457.242086,2991.481137,1966.619218,137.8567065
13171.51078,17070.15943,7680.676985,3733.781849,1431.31291,164.3464581
14986.7142,8932.287544,5060.899755,2763.733211,1836.805255,218.3891738
12619.9065,17021.92984,8044.043415,3471.593664,1879.56184,255.346195
6632.66373,9912.561057,7631.99331,2989.024094,2092.835424,100.8810145
3118.702271,6845.835209,5439.623258,3255.298194,1660.634666,122.1210828
7789.986214,12284.0095,7980.314896,2667.917486,2265.67084,136.1832424
8404.368408,16625.89419,11844.40233,3730.413753,2217.221733,266.1801266
7514.495146,6946.998092,3915.767758,3050.340728,2474.862285,226.0436455
6052.709396,8229.39422,5117.637685,3361.820908,1808.062815,132.3429069
1417.135711,2390.439361,1516.282764,1994.423578,1077.386376,128.6557753
2468.781298,3390.095618,1435.826295,1911.545901,1370.945706,84.20523197
2765.117871,3322.589985,1633.017492,1767.280443,1352.32051,114.4667969
1503.437046,2053.855267,2697.242723,2307.881629,1450.557504,162.5151894
3992.919946,2772.069848,2586.805892,2043.959276,969.0757287,149.3477634
1119.179092,2687.382577,1987.944095,2546.143931,1135.283834,154.2358618
5112.71145,6286.185595,4903.962638,3000.043108,1147.563907,156.9913589
1710.521007,3808.564112,2276.987504,2734.606341,1246.233679,113.3746837
6361.643207,7048.002106,2812.755583,2103.655268,1245.83978,181.3547978
2106.636661,1944.918884,1918.871744,2153.446562,1158.77638,108.1200745
4645.819386,3384.668435,2287.094662,2578.258823,1627.095432,194.8779825
3075.085043,2698.573287,2288.575559,2767.588418,1451.756806,115.5209671
2176.151698,2441.349081,1931.025671,2944.558683,1038.621695,135.2812981
5613.582844,7383.703966,3278.916807,2969.516571,1270.006981,149.189203
1824.094118,1718.691168,2167.905494,1583.109282,1301.364596,67.74980006
4175.841034,7193.156585,4552.828415,2449.588094,1282.737979,143.4494894
4459.417302,6556.142525,2880.79128,2826.189402,1429.82259,168.0458876
2430.933997,4396.875041,2106.54319,3007.108717,1537.454133,87.00229545
4977.744495,4215.289944,2762.741315,2687.586252,1260.540687,155.5557183
720.1059364,4592.547547,2103.780255,2029.144947,1087.777131,180.1921108
4650.996438,3683.028417,2331.593091,2697.785479,1650.028467,219.9056362
660.1951709,2675.804917,2450.802552,3133.763715,1997.447008,150.039684
3729.992502,2770.173995,1562.245534,2357.068914,999.4052617,108.0990372
3379.495825,3378.09888,2964.399099,2785.10302,1431.670341,183.731
2488.709452,3727.403858,2428.26534,2944.609252,1721.188798,79.58187166
795.3661656,3461.677823,2299.802285,3000.232618,1355.163596,92.99932356
3679.297262,4421.743011,3536.696006,2998.477852,1266.36304,95.25920823
4247.055991,9871.992752,4965.926112,2741.376779,1257.558895,136.7549216
1172.542711,2420.974027,1179.711044,1976.222904,1029.421191,92.75393515
772.5600193,2307.142776,1244.556477,2270.652462,1315.672735,127.1338028
5153.909159,6300.192513,3345.200309,2282.574404,986.6135734,101.7518338
3463.217769,3605.429296,1528.482303,1754.402431,1206.455881,98.31335615
6271.906877,7290.624074,1993.33553,2483.736333,1632.971492,126.4299457
3351.955359,3047.350757,1688.25289,2482.698938,1600.758753,196.5608827
1767.525148,2824.933913,846.5118295,2430.497107,1375.226132,156.2026597
4513.759145,2551.977613,1401.619617,2904.673692,1430.45832,126.3171267
3954.220228,4323.663125,3070.917539,2604.542138,1485.781151,213.0699882
1668.905645,4668.512281,2570.659827,3679.126443,1861.681456,213.9357031
4549.616947,5582.624626,3220.197483,2669.66266,1522.672916,145.5187207
4258.344927,11212.94378,4099.893543,2831.482575,1328.94899,173.8352906
2697.550583,2282.045957,1779.238993,3272.414345,1766.014286,222.3948564
1941.112126,1731.82172,3594.643368,3462.17516,1619.621087,141.377118
2878.231362,2663.362947,784.2790147,3607.044438,1779.598628,215.1474526
3066.110986,6576.922381,4125.025108,3045.498071,1534.417027,186.3347801
2108.481473,3610.006817,1391.221201,2675.639954,2231.026819,191.1115386
